Hour,Minute,Second,Lon,Lat,Speed,SpeedDirection,HeadingDirection,,,,,,,,,,,
4,44,2.6,177698.3336,2500798.298,0.014,121.656,264.545,,,,,,,,,,,
4,44,2.8,177698.3336,2500798.299,0.004,0,264.527,,,,,,,,,,,
4,44,3,177698.3336,2500798.299,0.021,36.535,264.415,,,,,,,,,,,
4,44,3.2,177698.3336,2500798.299,0.021,45.378,264.638,,,,,,,,,,,
4,44,3.4,177698.3335,2500798.299,0.008,0,264.715,,,,,,,,,,,
4,44,3.6,177698.3335,2500798.299,0.015,228.478,264.723,,,,,,,,,,,
4,44,3.8,177698.3335,2500798.299,0.006,0,264.721,,,,,,,,,,,
4,44,4,177698.3335,2500798.299,0.009,0,264.877,,,,,,,,,,,
4,44,4.2,177698.3335,2500798.299,0.015,287.228,264.829,,,,,,,,,,,
4,44,4.4,177698.3334,2500798.3,0.018,267.354,264.763,,,,,,,,,,,
4,44,4.6,177698.3334,2500798.3,0.022,284.339,264.989,,,,,,,,,,,
4,44,4.8,177698.3334,2500798.3,0.008,0,265.016,,,,,,,,,,,
4,44,5,177698.3334,2500798.3,0.028,183.805,264.91,,,,,,,,,,,
4,44,5.2,177698.3334,2500798.3,0.011,207.244,264.824,,,,,,,,,,,
4,44,5.4,177698.3333,2500798.3,0.016,167.225,265.093,,,,,,,,,,,
4,44,5.6,177698.3333,2500798.3,0.007,0,265.043,,,,,,,,,,,
4,44,5.8,177698.3333,2500798.3,0.006,0,265.108,,,,,,,,,,,
4,44,6,177698.3333,2500798.3,0.007,0,265.023,,,,,,,,,,,
4,44,6.2,177698.3332,2500798.301,0.011,60.702,264.975,,,,,,,,,,,
4,44,6.4,177698.3332,2500798.301,0.007,0,265.046,,,,,,,,,,,
4,44,6.6,177698.3332,2500798.301,0.01,147.648,264.947,,,,,,,,,,,
4,44,6.8,177698.3332,2500798.301,0.016,10.94,265.069,,,,,,,,,,,
4,44,7,177698.3332,2500798.301,0.004,0,264.95,,,,,,,,,,,
4,44,7.2,177698.3332,2500798.301,0.018,204.992,265.284,,,,,,,,,,,
4,44,7.4,177698.3331,2500798.301,0.021,193.919,265.153,,,,,,,,,,,
4,44,7.6,177698.3331,2500798.301,0.063,209.548,265.185,,,,,,,,,,,
4,44,7.8,177698.3331,2500798.302,0.023,214.749,265.474,,,,,,,,,,,
4,44,8,177698.3331,2500798.302,0.012,194.474,265.425,,,,,,,,,,,
4,44,8.2,177698.3331,2500798.302,0.01,197.695,265.342,,,,,,,,,,,
4,44,8.4,177698.3331,2500798.302,0.018,157.268,265.293,,,,,,,,,,,
4,44,8.6,177698.3331,2500798.302,0.009,0,265.425,,,,,,,,,,,
4,44,8.8,177698.3331,2500798.302,0.012,85.61,265.272,,,,,,,,,,,
4,44,9,177698.3331,2500798.302,0.026,38.724,265.132,,,,,,,,,,,
4,44,9.2,177698.3331,2500798.302,0.021,3.068,265.372,,,,,,,,,,,
4,44,9.4,177698.3331,2500798.303,0.031,26.099,265.357,,,,,,,,,,,
4,44,9.6,177698.3331,2500798.303,0.031,1.557,265.547,,,,,,,,,,,
4,44,9.8,177698.3331,2500798.303,0.016,2.203,265.316,,,,,,,,,,,
4,44,10,177698.3331,2500798.303,0.011,333.188,265.548,,,,,,,,,,,
4,44,10.2,177698.3331,2500798.303,0.016,317.411,265.444,,,,,,,,,,,
4,44,10.4,177698.3331,2500798.303,0.014,225.425,265.539,,,,,,,,,,,
4,44,10.6,177698.3331,2500798.303,0.01,238.459,265.467,,,,,,,,,,,
4,44,10.8,177698.3331,2500798.304,0.014,179.295,265.494,,,,,,,,,,,
4,44,11,177698.3331,2500798.304,0.013,160.441,265.643,,,,,,,,,,,
4,44,11.2,177698.3331,2500798.304,0.017,131.174,265.494,,,,,,,,,,,
4,44,11.4,177698.3331,2500798.304,0.023,156.472,265.496,,,,,,,,,,,
4,44,11.6,177698.3331,2500798.304,0.028,140.339,265.343,,,,,,,,,,,
4,44,11.8,177698.3331,2500798.304,0.023,151.985,265.565,,,,,,,,,,,
4,44,12,177698.3331,2500798.304,0.019,123.022,265.416,,,,,,,,,,,
4,44,12.2,177698.3331,2500798.304,0.014,133.457,265.518,,,,,,,,,,,
4,44,12.4,177698.3331,2500798.304,0.015,153.975,265.669,,,,,,,,,,,
4,44,12.6,177698.3331,2500798.305,0.003,0,265.718,,,,,,,,,,,
4,44,12.8,177698.3331,2500798.305,0.003,0,265.563,,,,,,,,,,,
4,44,13,177698.3331,2500798.305,0.025,337.041,265.673,,,,,,,,,,,
4,44,13.2,177698.3331,2500798.305,0.015,305.125,265.954,,,,,,,,,,,
4,44,13.4,177698.3331,2500798.305,0.02,350.4,265.996,,,,,,,,,,,
4,44,13.6,177698.3331,2500798.305,0.013,4.379,266.056,,,,,,,,,,,
4,44,13.8,177698.3331,2500798.305,0.009,0,266.057,,,,,,,,,,,
4,44,14,177698.3331,2500798.305,0.012,42.906,266.131,,,,,,,,,,,
4,44,14.2,177698.3332,2500798.306,0.015,34.13,266.167,,,,,,,,,,,
