Hour,Minute,Second,Lon,Lat
04,44,19.40,177698.3338436,2500798.3088863
04,44,19.60,177698.3338784,2500798.3090153
04,44,19.80,177698.3339133,2500798.3091444
04,44,20.00,177698.3339481,2500798.3092549
04,44,20.00,177698.3339481,2500798.3092549
04,44,20.20,177698.333983,2500798.3093839
04,44,20.40,177698.3340007,2500798.3095131
04,44,20.60,177698.3340355,2500798.3096236
04,44,20.80,177698.3340704,2500798.3097527
04,44,21.00,177698.3341052,2500798.3098632
04,44,21.00,177698.3341052,2500798.3098632
04,44,21.20,177698.334123,2500798.3099923
04,44,21.40,177698.3341578,2500798.3101214
04,44,21.60,177698.3341755,2500798.310232
04,44,21.80,177698.3341932,2500798.3103611
04,44,22.00,177698.3342111,2500798.3105087
04,44,22.00,177698.3342111,2500798.3105087
04,44,22.20,177698.3342459,2500798.3106377
04,44,22.40,177698.3342637,2500798.3107668
04,44,22.60,177698.3342815,2500798.3109144
04,44,22.80,177698.3342993,2500798.3110435
04,44,23.00,177698.3343171,2500798.3111911
04,44,23.00,177698.3343171,2500798.3111911
04,44,23.20,177698.3343348,2500798.3113202
04,44,23.40,177698.3343527,2500798.3114677
04,44,23.60,177698.3343704,2500798.3115968
04,44,23.80,177698.3343883,2500798.3117444
04,44,24.00,177698.334406,2500798.3118735
04,44,24.00,177698.334406,2500798.3118735
04,44,24.20,177698.3344237,2500798.3120026
04,44,24.40,177698.3344415,2500798.3121317
04,44,24.60,177698.3344592,2500798.3122608
04,44,24.80,177698.3344598,2500798.31239
